park_name,cluster,poi_code,area_official_m2,workers_count,annual_visitors,restrooms_count,restrooms_area_m2,playgrounds_count,playgrounds_area_m2,exercise_equipment_count,exercise_area_m2,management_intensity,visitor_density,infrastructure_index,recreation_index,facility_density,subway_station_count,subway_ridership_avg,bus_station_count,bus_ridership_avg,road_segment_count,total_transit_stations,total_transit_ridership,transit_accessibility_index,transit_usage_intensity,multimodal_accessibility,avg_population,max_population,population_std,population_cv,peak_hour,peak_intensity,morning_usage,afternoon_usage,evening_usage,night_usage,weekday_weekend_ratio,weekend_preference,usage_consistency,morning_rush_intensity,evening_rush_intensity,male_dominance,gender_balance,youth_orientation,senior_orientation,working_age_orientation,age_diversity,local_dominance,tourist_attraction,demographic_stability,area_km2,population_density,distance_to_center,centrality_score,temporal_catchment,weekly_catchment,regional_influence,kmeans_cluster,topo_clustering_coefficient,topo_local_efficiency,topo_node_degree,topo_eccentricity,topo_avg_neighbor_degree,topo_square_clustering,service_walk_5min_nodes,service_walk_5min_edges,service_drive_5min_nodes,service_area_ratio_5min,service_walk_10min_nodes,service_walk_10min_edges,service_drive_10min_nodes,service_area_ratio_10min,service_walk_15min_nodes,service_walk_15min_edges,service_drive_15min_nodes,service_area_ratio_15min,service_walk_30min_nodes,service_walk_30min_edges,service_drive_30min_nodes,service_area_ratio_30min,service_walk_growth_rate,service_drive_growth_rate,service_multimodal_advantage,infra_proximity_transit,infra_proximity_commercial,infra_proximity_education,infra_proximity_healthcare,infra_proximity_government,infra_overall_accessibility,infra_diversity_score,density_nodes_500m,density_edges_500m,density_avg_degree_500m,density_ratio_500m,density_efficiency_500m,density_clustering_500m,density_nodes_1000m,density_edges_1000m,density_avg_degree_1000m,density_ratio_1000m,density_efficiency_1000m,density_clustering_1000m,density_nodes_2000m,density_edges_2000m,density_avg_degree_2000m,density_ratio_2000m,density_efficiency_2000m,density_clustering_2000m,density_scale_ratio,density_consistency
Gangseo Hangang Park,2,POI085,1035463.0,,1548.0,0.0,0.0,1.0,4340.0,2.0,0.9,0.0,1494.983403559567,2.8972546580611764,3.0,0.4192230915059253,0.0,0.0,1.0,0.0,1,1.0,0.0,0.9657515526870588,0.0,1,63.96109340935771,150.0,34.64304721257822,0.5416268675901492,17.0,1.4490833616413958,72.2604421402916,79.79135614054327,54.11013417224598,50.0,0.8512397812824912,0.1747571079113043,4.453192093202402,1.2493603159947024,1.1318923648820165,10.598574543015268,78.80285091396946,39.45651517692437,37.297132315948346,44.59679691430488,1.8279306828053583,11.24687237967466,88.75312762032534,0.132985845147614,0.2976143724961358,214.91192767668,14.262806808339802,0.4121534692582526,1.0,1.0,0.8875312762032534,0,0,0,0,999,0,0,1,0,8,4.0,2,1,9,3.0,2,1,9,3.0,8,7,9,1.0,0.5,0.1111111111111111,2.333333333333333,0.02,0.02,0.02,0.02,0.02,0.02,0.0,1.2732395447351628,0.0,0.0,0.0,0,0,0.6366197723675814,0.3183098861837907,1.0,0.5,0,0,0.6366197723675814,0.5570423008216338,1.75,0.125,0,0,0.2800495767557787,0.7812197419215978
Gwangnaru Hangang Park,1,POI087,930600.0,,1551.0,0.0,0.0,2.0,41498.0,0.0,0.0,0.0,1666.6666666666667,2.1491510853212983,2.0,4.459273586933161,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,3288.919644354974,7750.0,1103.2647283511633,0.3354489763559084,10.0,1.3792803603632762,3985.0398395072784,4232.906341071701,2960.116236858347,1966.7885484071849,1.1517202463490477,0.0,5.2570586204263945,1.2358831483251356,1.1172157132050522,-1.1041939271934211,97.79161214561316,36.53945646703573,42.61763126992115,40.01499748364368,1.872491140519984,29.82910585472236,70.17089414527764,0.2613628684051244,1.2394740893461955,2653.4778089730144,13.47433834586058,0.4259970974544371,1.0,1.0,0.7017089414527764,2,0,0,0,999,0,0,70,200,1307,18.408450704225352,261,766,3488,13.312977099236642,520,1537,5933,11.387715930902113,1409,4180,30036,21.302127659574467,6.338028169014085,3.536697247706422,10.389635316698657,1.0,1.0,1.0,1.0,1.0,1.0,0.0,154.0619849129547,448.1803197467773,5.818181818181818,0.0242424242424242,0,0,138.14649060376516,409.6648235185386,5.9308755760368665,0.006848586115516,0,0,99.4718394324346,294.59579966309826,5.9232,0.0023711769415532,0,0,0.6414972663240053,0.7855289149844223
The National Museum of Korea·Yongsan Family Park,0,POI089,75900.0,12.0,800.0,3.0,62260.0,0.0,0.0,3.0,1.86,158.10276679841897,10540.184453227932,79.05138339920948,0.75,82.03143610013174,3.0,4700.0,3.0,200.0,1,6.0,4900.0,79.05138339920948,700.0,3,1356.5582019456558,3250.0,543.4352348144472,0.4005985394761697,15.0,1.51048896218895,1406.9273108299624,1956.982461408753,1184.7866270893262,872.3808578978047,0.7847646630437801,0.2742673648521756,4.455376340344324,0.9347835247881036,1.114628846665945,-1.135726266353565,97.72854746729288,43.201727608185166,37.70954377725595,36.70882254277089,1.992562464248565,55.20878899698088,44.79121100301912,0.1886710200875999,0.3600018041403315,3768.1878761612656,4.806043329109931,0.6753998875809823,1.0,1.0,0.4479121100301912,2,0,0,0,999,0,0,1,0,92,46.0,6,11,1738,248.28571428571428,12,25,7545,580.3846153846154,129,302,52029,400.2230769230769,5.5,80.13978494623656,579.4615384615385,0.12,0.12,0.12,0.12,0.12,0.12,0.0,1.2732395447351628,0.0,0.0,0.0,0,0,3.819718634205488,7.957747154594767,4.166666666666667,0.1893939393939394,0,0,6.047887837492023,14.244367406724631,4.7105263157894735,0.0314035087719298,0,0,2.6604709791798973,0.4262017544696084
Nanji Hangang Park,2,POI090,770000.0,,5222.0,0.0,0.0,1.0,66000.0,0.0,0.0,0.0,6781.818181818182,1.2987012987012987,1.0,8.571428571428571,0.0,0.0,9.0,10.0,1,9.0,10.0,11.688311688311687,1.0,1,1006.8391866913124,3750.0,530.9871329055007,0.5273802801846212,17.0,1.6461166838490542,1169.1932758918592,1451.605730600074,1031.5096038912704,367.8624631962219,0.8836837846151977,0.1316265120848295,4.466508225452754,1.190494289785336,1.4964707334298768,9.212216434212742,81.57556713157452,39.56251050243657,37.997865904889935,42.89143001176272,1.8761584822781057,12.60305830952781,87.39694169047219,0.1635775773733728,0.6845442942923071,1470.8145612660992,8.890938141184234,0.5293543351454286,1.0,1.0,0.8739694169047219,0,0,0,0,999,0,0,1,0,32,16.0,2,1,1692,564.0,6,6,7317,1045.2857142857142,53,84,38846,719.3703703703703,2.5,220.7575757575757,1044.428571428571,0.03,0.03,0.03,0.03,0.03,0.03,0.0,1.2732395447351628,0.0,0.0,0.0,0,0,0.954929658551372,0.6366197723675814,1.3333333333333333,0.3333333333333333,0,0,2.466901617924378,4.058451048843331,3.290322580645161,0.0548387096774193,0,0,1.0851921099286423,0.7481800578868225
Namsan Park,1,POI091,1127559.6,48.0,4131.0,18.0,18085.0,7.0,37750.0,142.0,45.6,42.56981183078925,3663.6644306873,148.10747032795427,7.842105263157895,4.955888806232504,5.0,49450.0,37.0,11000.0,1,42.0,60450.0,37.2485853519406,1405.813953488372,3,10449.33735950344,25000.0,4272.877134571344,0.4089136934866347,15.0,1.53617897128759,10588.17376748872,15569.854039680782,9874.421089107103,5715.44154975638,1.165657796751919,0.0,5.51452161607514,0.9461465105996456,1.2822063263539796,-0.0313202482804939,99.937359503439,45.77134708941453,36.54938768662976,36.06168428116088,1.9137221831349625,46.83197450092267,53.16802549907733,0.313907842105577,3.209194646672662,3256.061178550287,2.121028711564088,0.8250124835080609,1.0,1.0,0.5316802549907733,1,0,0,0,999,0,0,6,8,23,3.2857142857142856,6,8,2412,344.57142857142856,6,8,9288,1326.857142857143,48,102,56865,1160.5102040816328,0.0,386.0416666666667,1326.0,0.06,0.06,0.06,0.06,0.06,0.06,0.0,7.639437268410976,10.185916357881302,2.6666666666666665,0.2666666666666666,0,0,1.909859317102744,2.546479089470325,2.6666666666666665,0.2666666666666666,0,0,1.5119719593730057,2.546479089470325,3.3684210526315788,0.0935672514619883,0,0,0.1750081530079907,0.3963926414997284
Ttukseom Hangang Park,0,POI093,825000.0,,14940.0,2.0,9984.0,4.0,66521.2,1.0,0.7,0.0,18109.09090909091,8.484848484848484,1.6666666666666667,9.273442424242424,1.0,3800.0,1.0,0.0,1,2.0,3800.0,2.4242424242424243,1266.6666666666667,3,1610.11396011396,4750.0,399.2884894057108,0.2479877195335058,8.0,1.2930676294779002,1743.2641283606888,1768.530080577083,1689.7795018918332,1236.7618078019316,0.964501311637478,0.0368052249454674,5.548920891879583,1.1761429318251722,1.1971535699744935,0.1058655941008908,99.78826881179822,39.008144796380094,41.653628288922405,39.09837439249203,1.898196472448229,34.73385285738227,65.26614714261773,0.2475080311262252,0.455148394354085,3537.5504836141045,9.215422328110478,0.520415311682787,1.0,1.0,0.6526614714261773,2,0,0,0,999,0,0,1,0,377,188.5,2,1,2497,832.3333333333334,15,23,8085,505.3125,468,1277,42311,90.21535181236672,7.0,20.3915343915344,504.375,0.09,0.09,0.09,0.09,0.09,0.09,0.0,1.2732395447351628,0.0,0.0,0.0,0,0,2.864788975654116,3.819718634205488,2.6666666666666665,0.1666666666666666,0,0,27.374650211806,76.15564026947192,5.563953488372093,0.0081107193708048,0,0,12.042131800498485,0.1196199499725902
Mangwon Hangang Park,0,POI094,422347.0,,2521.0,0.0,0.0,1.0,5239.0,1.0,2.5,0.0,5969.025469578333,4.735442657341002,2.0,1.241041134422643,2.0,16500.0,13.0,2950.0,1,15.0,19450.0,35.51581993005752,1215.625,3,1303.804894401609,2750.0,269.9627830973813,0.2070576541394447,17.0,1.2655949902933492,1330.1184927944428,1405.9443279749296,1381.7023817608813,1097.1732616365662,1.1434308622597704,0.0,5.687588107241872,1.1051023296986964,1.2418037144622345,2.8431612470667105,94.31367750586658,41.52326516929266,39.58759637948374,37.53907140462621,1.955634504802639,54.09916191753268,45.90083808246731,0.2785009652434604,0.4231945417716599,3080.8568751536905,7.095526326523256,0.5849483548503134,1.0,1.0,0.4590083808246731,2,0,0,0,999,0,0,84,194,1623,19.094117647058823,327,793,5572,16.98780487804878,715,1752,12161,16.98463687150838,1904,4686,46449,24.38267716535433,7.423529411764706,6.488916256157635,15.986033519553072,1.0,1.0,1.0,1.0,1.0,1.0,0.0,185.89297353133367,445.63384065730696,4.794520547945205,0.0165328294756731,0,0,186.8479031898852,452.00003838098274,4.838160136286201,0.0041281229831793,0,0,121.99226387993778,297.8584759964821,4.883235485975212,0.0015937452630467,0,0,0.6527386320357572,0.7931247534296563
Banpo Hangang Park,2,POI095,654200.0,,2232.0,0.0,0.0,1.0,36405.0,0.0,0.0,0.0,3411.8006725771934,1.5285845307245491,1.0,5.564811984102721,0.0,0.0,6.0,175.0,1,6.0,175.0,9.171507184347297,25.0,1,1578.6049631120054,5250.0,649.8158246397364,0.4116392887471184,17.0,1.5152085942633269,1670.5524257146944,2123.4924506983066,1754.9944294143218,755.0432014285276,0.885755638502982,0.1289795468123521,4.780477311851916,1.08900764460584,1.4088487121023645,5.996327967806835,88.00734406438633,40.43983903420524,36.87608987256875,41.8874245472837,1.870351668905296,11.959976525821595,88.0400402414487,0.1650626245340777,0.6090871709819732,2591.7511426415904,6.404100507653317,0.6096036777715736,1.0,1.0,0.8804004024144869,0,0,0,0,999,0,0,8,11,215,23.88888888888889,16,20,3939,231.7058823529412,23,31,12012,500.5,295,599,53589,181.0439189189189,1.6666666666666667,54.61574074074074,499.5416666666667,0.21,0.21,0.21,0.21,0.21,0.21,0.0,11.459155902616464,15.278874536821952,2.6666666666666665,0.1666666666666666,0,0,6.684507609859605,9.23098669932993,2.761904761904762,0.069047619047619,0,0,14.164789935178684,25.5443683662492,3.606741573033708,0.0101885355170443,0,0,1.1368980407576432,0.8983759188421528
Dream Forest,0,POI096,665190.0,24.0,3200.0,10.0,14882.0,17.0,37490.0,135.0,11.03,36.07991701619087,4810.655602158782,243.5394398592884,13.818181818181818,7.874897397735984,0.0,0.0,17.0,1037.5,1,17.0,1037.5,25.55660788646853,57.638888888888886,1,4414.210350025121,9250.0,517.8136215862124,0.1173060593874869,22.0,1.079410285857686,4318.426365986405,4048.582953983263,4636.821080481464,4655.826682038021,0.9391488728595512,0.0647939093239779,5.549090123427648,1.0008200937093743,0.9923488165910402,-3.6583151900854105,92.68336961982918,31.029291575950424,52.34975715960475,30.86766035839893,1.9188096420454075,47.32336292078379,52.67663707921621,0.4189425805888419,0.771952227464234,5718.2355005176005,8.33337399332336,0.5454533357385168,1.0,1.0,0.5267663707921622,1,0,0,0,999,0,0,5,10,1496,249.3333333333333,80,208,8987,110.95061728395062,330,950,19581,59.1570996978852,1977,5623,42685,21.579878665318503,54.16666666666666,12.080828323313291,58.16012084592145,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12.732395447351628,25.464790894703256,4.0,0.2222222222222222,0,0,73.84789359463944,208.1746655641991,5.637931034482759,0.0122033139274518,0,0,103.60986795282386,297.9380534680281,5.751152073732719,0.0022102813503968,0,0,7.544923123576784,0.2255350299870188
Seoul Grand Park,4,POI100,13340000.0,417.0,2902.0,12.0,67220.0,10.0,55400.0,2.0,16.0,31.259370314842577,217.54122938530736,1.7991004497751124,0.9230769230769232,0.9193103448275862,1.0,2300.0,0.0,0.0,1,1.0,2300.0,0.0749625187406296,1150.0,2,1318.016431924883,13000.0,1577.594019455357,1.1969456374336938,15.0,2.333663906433949,1318.944698894007,2729.221111439699,877.1158612498284,343.9836119215996,0.4966989893743148,1.013291793254231,1.5923484793474902,0.7808765639518934,1.3215075064013588,0.5806002682763278,98.83879946344734,44.29024144869215,38.03708920187793,35.33252850435949,1.98701865525679,36.51628101945003,63.48371898054996,0.1529262815250507,2.766109491074605,476.4872683783673,15.587922435243463,0.3908093759978936,1.0,1.0,0.6348371898054996,4,0,0,0,999,0,0,9,22,115,11.5,20,47,921,43.85714285714285,45,91,4003,87.02173913043478,128,306,22628,175.4108527131783,3.6,33.51724137931034,86.04347826086956,0.4299999999999999,0.4299999999999999,0.4299999999999999,0.4299999999999999,0.4299999999999999,0.4299999999999999,5.551115123125783e-17,12.732395447351628,30.557749073643905,4.8,0.2666666666666666,0,0,13.687325105903,28.32957987035737,4.1395348837209305,0.0492801771871539,0,0,8.992254284692088,21.326762374313976,4.743362831858407,0.0211757269279393,0,0,0.6548205168695674,0.8354147937697091
