park_name,cluster,area_official_m2,visitor_density,management_intensity,infrastructure_index,recreation_index,restrooms_count,playgrounds_count,exercise_equipment_count,facility_density,workers_count,centrality_score,subway_station_count,bus_station_count,total_transit_ridership,transit_accessibility_index,distance_to_center,topo_clustering_coefficient,topo_local_efficiency,topo_node_degree,topo_eccentricity,topo_avg_neighbor_degree,topo_square_clustering,service_walk_5min_nodes,service_walk_5min_edges,service_drive_5min_nodes,service_area_ratio_5min,service_walk_10min_nodes,service_walk_10min_edges,service_drive_10min_nodes,service_area_ratio_10min,service_walk_15min_nodes,service_walk_15min_edges,service_drive_15min_nodes,service_area_ratio_15min,service_walk_30min_nodes,service_walk_30min_edges,service_drive_30min_nodes,service_area_ratio_30min,service_walk_growth_rate,service_drive_growth_rate,service_multimodal_advantage,infra_proximity_transit,infra_proximity_commercial,infra_proximity_education,infra_proximity_healthcare,infra_proximity_government,infra_overall_accessibility,infra_diversity_score,density_nodes_500m,density_edges_500m,density_avg_degree_500m,density_ratio_500m,density_efficiency_500m,density_clustering_500m,density_nodes_1000m,density_edges_1000m,density_avg_degree_1000m,density_ratio_1000m,density_efficiency_1000m,density_clustering_1000m,density_nodes_2000m,density_edges_2000m,density_avg_degree_2000m,density_ratio_2000m,density_efficiency_2000m,density_clustering_2000m,density_scale_ratio,density_consistency
Gangseo Hangang Park,2,1035463.0,1494.983403559567,0.0,2.8972546580611764,3.0,0.0,1.0,2.0,0.4192230915059253,0.0,0.4121534692582526,0.0,1.0,0.0,0.9657515526870588,14.262806808339802,0,0,0,999,0,0,1,0,8,4.0,2,1,9,3.0,2,1,9,3.0,8,7,9,1.0,0.5,0.1111111111111111,2.333333333333333,0.02,0.02,0.02,0.02,0.02,0.02,0.0,1.2732395447351628,0.0,0.0,0.0,0,0,0.6366197723675814,0.3183098861837907,1.0,0.5,0,0,0.6366197723675814,0.5570423008216338,1.75,0.125,0,0,0.2800495767557787,0.7812197419215978
Gwangnaru Hangang Park,1,930600.0,1666.6666666666667,0.0,2.1491510853212983,2.0,0.0,2.0,0.0,4.459273586933161,0.0,0.4259970974544371,0.0,0.0,0.0,0.0,13.47433834586058,0,0,0,999,0,0,70,200,1307,18.408450704225352,261,766,3492,13.32824427480916,520,1537,5928,11.378119001919384,1409,4180,30112,21.356028368794327,6.338028169014085,3.532874617737003,10.380038387715931,1.0,1.0,1.0,1.0,1.0,1.0,0.0,154.0619849129547,448.1803197467773,5.818181818181818,0.0242424242424242,0,0,138.14649060376516,409.6648235185386,5.9308755760368665,0.006848586115516,0,0,99.4718394324346,294.59579966309826,5.9232,0.0023711769415532,0,0,0.6414972663240053,0.7855289149844223
The National Museum of Korea·Yongsan Family Park,0,75900.0,10540.184453227932,158.10276679841897,79.05138339920948,0.75,3.0,0.0,3.0,82.03143610013174,12.0,0.6753998875809823,3.0,3.0,4900.0,79.05138339920948,4.806043329109931,0,0,0,999,0,0,1,0,92,46.0,6,11,1743,249.0,12,25,7552,580.9230769230769,129,302,52036,400.2769230769231,5.5,80.21505376344086,580.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,1.2732395447351628,0.0,0.0,0.0,0,0,3.819718634205488,7.957747154594767,4.166666666666667,0.1893939393939394,0,0,6.047887837492023,14.244367406724631,4.7105263157894735,0.0314035087719298,0,0,2.6604709791798973,0.4262017544696084
Nanji Hangang Park,2,770000.0,6781.818181818182,0.0,1.2987012987012987,1.0,0.0,1.0,0.0,8.571428571428571,0.0,0.5293543351454286,0.0,9.0,10.0,11.688311688311687,8.890938141184234,0,0,0,999,0,0,1,0,33,16.5,2,1,1680,560.0,6,6,7321,1045.857142857143,51,81,38469,739.7884615384615,2.5,214.35294117647055,1045.0,0.03,0.03,0.03,0.03,0.03,0.03,0.0,1.2732395447351628,0.0,0.0,0.0,0,0,0.954929658551372,0.6366197723675814,1.3333333333333333,0.3333333333333333,0,0,2.466901617924378,4.058451048843331,3.290322580645161,0.0548387096774193,0,0,1.0851921099286423,0.7481800578868225
Namsan Park,1,1127559.6,3663.6644306873,42.56981183078925,148.10747032795427,7.842105263157895,18.0,7.0,142.0,4.955888806232504,48.0,0.8250124835080609,5.0,37.0,60450.0,37.2485853519406,2.121028711564088,0,0,0,999,0,0,6,8,25,3.571428571428572,6,8,2400,342.85714285714283,6,8,9192,1313.142857142857,53,107,56700,1050.0,0.0,352.5769230769231,1312.2857142857142,0.06,0.06,0.06,0.06,0.06,0.06,0.0,7.639437268410976,10.185916357881302,2.6666666666666665,0.2666666666666666,0,0,1.909859317102744,2.546479089470325,2.6666666666666665,0.2666666666666666,0,0,1.5915494309189535,2.228169203286535,2.8,0.0736842105263157,0,0,0.1842191084294639,0.4088656338603075
Ttukseom Hangang Park,0,825000.0,18109.09090909091,0.0,8.484848484848484,1.6666666666666667,2.0,4.0,1.0,9.273442424242424,0.0,0.520415311682787,1.0,1.0,3800.0,2.4242424242424243,9.215422328110478,0,0,0,999,0,0,1,0,377,188.5,2,1,2496,832.0,15,23,8108,506.75,468,1277,42407,90.42004264392324,7.0,20.452380952380956,505.8125,0.09,0.09,0.09,0.09,0.09,0.09,0.0,1.2732395447351628,0.0,0.0,0.0,0,0,2.864788975654116,3.819718634205488,2.6666666666666665,0.1666666666666666,0,0,27.374650211806,76.15564026947192,5.563953488372093,0.0081107193708048,0,0,12.042131800498485,0.1196199499725902
Mangwon Hangang Park,0,422347.0,5969.025469578333,0.0,4.735442657341002,2.0,0.0,1.0,1.0,1.241041134422643,0.0,0.5849483548503134,2.0,13.0,19450.0,35.51581993005752,7.095526326523256,0,0,0,999,0,0,84,194,1620,19.058823529411764,325,790,5555,17.039877300613497,713,1749,12186,17.067226890756302,1882,4624,46034,24.447158789166224,7.4,6.518198642813078,16.068627450980394,1.0,1.0,1.0,1.0,1.0,1.0,0.0,182.0732548971283,440.5408824783663,4.839160839160839,0.0170392987294395,0,0,186.2112834175176,451.0451087224314,4.844444444444444,0.0041476407914764,0,0,121.67395399375398,297.1422787525686,4.88423806409418,0.0015982454398213,0,0,0.6646189475471144,0.8018052367954555
Banpo Hangang Park,2,654200.0,3411.8006725771934,0.0,1.5285845307245491,1.0,0.0,1.0,0.0,5.564811984102721,0.0,0.6096036777715736,0.0,6.0,175.0,9.171507184347297,6.404100507653317,0,0,0,999,0,0,8,11,215,23.88888888888889,16,20,3926,230.94117647058823,23,31,11971,498.7916666666667,295,596,53537,180.86824324324328,1.6666666666666667,54.42592592592592,497.8333333333333,0.21,0.21,0.21,0.21,0.21,0.21,0.0,11.459155902616464,15.278874536821952,2.6666666666666665,0.1666666666666666,0,0,6.684507609859605,9.23098669932993,2.761904761904762,0.069047619047619,0,0,14.164789935178684,25.385213423157307,3.5842696629213484,0.0101250555449755,0,0,1.1368980407576432,0.8983759188421528
Dream Forest,0,665190.0,4810.655602158782,36.07991701619087,243.5394398592884,13.818181818181818,10.0,17.0,135.0,7.874897397735984,24.0,0.5454533357385168,0.0,17.0,1037.5,25.55660788646853,8.33337399332336,0,0,0,999,0,0,5,10,1527,254.5,80,208,9071,111.98765432098766,330,950,19671,59.429003021148034,2008,5700,42734,21.27127924340468,54.16666666666666,11.87434554973822,58.43202416918429,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12.732395447351628,25.464790894703256,4.0,0.2222222222222222,0,0,73.84789359463944,208.1746655641991,5.637931034482759,0.0122033139274518,0,0,105.9971920992023,303.6676314193363,5.72972972972973,0.0021524153755558,0,0,7.718769278497909,0.221038019398614
Seoul Grand Park,4,13340000.0,217.54122938530736,31.259370314842577,1.7991004497751124,0.9230769230769232,12.0,10.0,2.0,0.9193103448275862,417.0,0.3908093759978936,1.0,0.0,2300.0,0.0749625187406296,15.587922435243463,0,0,0,999,0,0,9,22,114,11.4,20,47,920,43.80952380952381,45,91,4012,87.21739130434783,127,305,22769,177.8828125,3.6,33.89565217391304,86.23913043478261,0.4299999999999999,0.4299999999999999,0.4299999999999999,0.4299999999999999,0.4299999999999999,0.4299999999999999,5.551115123125783e-17,12.732395447351628,30.557749073643905,4.8,0.2666666666666666,0,0,13.687325105903,28.32957987035737,4.1395348837209305,0.0492801771871539,0,0,8.91267681314614,21.247184902768023,4.767857142857143,0.0214768339768339,0,0,0.6490256450388633,0.8313223031366239
